Canonicalized SMILES,Canonicalized Taste
CC1=CCC(C(=O)O)(S(=O)(=O)c2ccccc2)C(C)C1,sweet
CC1=CCC(C(=O)O)(S(=O)(=O)c2ccccc2)CC1,sweet
O=C(O)c1ccccc1C(=O)c1ccc(O)c(O)c1,sweet
COc1c(O)cc2c(c1O)C(=O)C(O)C(c1ccc(O)c(O)c1)O2,sweet
COc1c(O)cc2c(c1O)C(=O)C(OC(C)=O)C(c1ccc(O)c(O)c1)O2,sweet
COc1ccc(C(=O)c2ccccc2C(=O)O)cc1O,sweet
COc1ccc(OCc2ccccc2C(=O)O)cc1O,sweet
COc1ccc(C2OC(=O)c3ccccc3O2)cc1O,sweet
COc1ccc(C2Oc3ccccc3O2)cc1O,sweet
COc1ccc(C2OC(=O)c3ccccc3S2)cc1O,sweet
COc1ccc(C2Oc3ccccc3S2)cc1O,sweet
COc1ccc(C2CSc3ccccc3S2)cc1O,sweet
COc1ccc(C2CSc3cc(O)ccc3O2)cc1O,sweet
COc1ccc(C2CSc3ccccc3O2)cc1O,sweet
COc1ccc(C2CS(=O)(=O)c3ccccc3O2)cc1O,sweet
COc1ccc(C2SCc3c(O)cccc3S2)cc1O,sweet
COc1ccc(C2OCc3c(O)cccc3S2)cc1O,sweet
COc1ccc(C2CCc3ccccc3S2)cc1O,sweet
COc1ccc(C2SCc3ccccc3S2)cc1O,sweet
COc1ccc(C2Sc3ccccc3S2)cc1O,sweet
COc1ccc(C2Oc3ccccc3CS2)cc1O,sweet
COc1ccc(C2OCc3ccccc3S2)cc1S,sweet
O=C(O)c1ccccc1C(=O)c1ccc(Cl)cc1,sweet
CCOc1ccc(C(=O)c2ccccc2C(=O)O)cc1,sweet
CCc1ccc(S(=O)(=O)C(C(=O)O)C(C)C)cc1,sweet
O=C(O)c1ccccc1C(=O)c1ccc(O)cc1,sweet
COc1ccc(C(=O)c2ccccc2C(=O)O)cc1,sweet
COc1ccc(S(=O)c2ccccc2C(=O)O)cc1,sweet
Cc1ccc(C(=O)c2ccccc2C(=O)O)cc1,sweet
Cc1ccc(S(=O)(=O)C(C(=O)O)C(C)C)cc1,sweet
CCC(C)C(C(=O)O)S(=O)(=O)c1ccccc1,sweet
CC1(C)CC1(C(=O)O)S(=O)(=O)c1ccc(O)cc1,sweet
CCOc1ccc(CCC(=O)c2ccccc2O)cc1O,sweet
COc1ccc(CCC(=O)c2ccccc2O)cc1O,sweet
COc1ccc(CCC(=O)c2c(O)cc(O)c(C(=O)O)c2O)cc1O,sweet
O=S(=O)([O-])Nc1cc(C(F)(F)F)nc(C(F)(F)F)c1,sweet
CC(C)(OCC(=O)O)C1CC=C(C=NO)CC1,sweet
O=C(Oc1ccc([N+](=O)[O-])cc1)Oc1cc(C2OCc3ccccc3S2)ccc1O,sweet
COc1ccc(C2OCc3ccccc3O2)cc1OC(=O)Nc1ccc([N+](=O)[O-])cc1,sweet
COc1ccc(C2OCc3ccccc3S2)cc1OC(=O)Nc1ccc([N+](=O)[O-])cc1,sweet
O=C(COc1cccc(C2OCc3ccccc3S2)c1)c1ccc([N+](=O)[O-])cc1,sweet
CN(C)c1ccc(C(=O)c2ccccc2C(=O)O)cc1,sweet
CC(C)OC(=O)C(C)NC(=O)C(N)C(=O)O,sweet
Nc1ccccc1C(=O)O,sweet
O=C(O)CNC(=Nc1ccc(Cl)nc1)NC1CCCCCCC1,sweet
N#Cc1ccc(N=C(NCC(=O)O)NC2CCCCCCCC2)cn1,sweet
N#Cc1ccc(N=C(NCC(=O)O)NC2CCCCCCC2)cn1,sweet
N#Cc1ccc(N=C(NCC(=O)O)NC(c2ccccc2)c2ccco2)cn1,sweet
O=C(O)C(C1CCCC1)S(=O)(=O)c1ccccc1,sweet
CCOc1ccc(CCc2ccccc2)cc1O,sweet
COc1ccc(CC(=O)c2ccccc2O)cc1O,sweet
COc1ccc(CCCc2ccccc2)cc1O,sweet
COc1ccc(CSc2ccccc2)cc1O,sweet
COc1ccc(CCc2ccc3c(c2)OCO3)cc1O,sweet
COc1ccc(CCc2ccccc2OC)cc1O,sweet
COc1ccc(CCc2ccccc2C)cc1O,sweet
COc1cccc(CCc2ccc(OC)c(O)c2)c1,sweet
COc1ccc(CCc2cccc(C)c2)cc1O,sweet
CC=C(C)C,sweet
CC(NC(=Nc1ccc2ccccc2c1)NCC(=O)O)c1ccccc1,sweet
CC(C)C(C)(C(=O)O)S(=O)(=O)c1ccccc1,sweet
CC(C)C(C(=O)O)S(=O)(=O)c1ccccc1,sweet
CCC(C(=O)O)S(=O)(=O)c1ccccc1,sweet
CCOC(=O)c1ccc(NC(=S)NC(CC(=O)O)C(=O)NC(Cc2ccccc2)C(=O)OC)cc1,sweet
CCOC(=O)c1ccc(NC(=O)NC(CC(=O)O)C(=O)NC(Cc2ccccc2)C(=O)OC)cc1,sweet
CC(NC(=O)C(N)CC(=O)O)NC(=O)C12CC3CC(CC(C3)C1)C2,sweet
COc1ccc(C2OCc3ccccc3S2)c(C=Cc2ccc([N+](=O)[O-])cc2)c1O,sweet
N#Cc1ccc(NC(=O)NC(CC(=O)O)c2ccc3c(c2)OCO3)cc1,sweet
NC(=O)c1c(Br)cc(Br)c(CCC(=O)O)c1Br,sweet
COc1ccc(C2Cc3ccccc3CO2)cc1O,sweet
COc1ccc(CCC(=O)c2cccc(C(=O)O)c2)cc1O,sweet
COc1ccc(C2COc3ccccc3S2)cc1O,sweet
COc1ccc(C2COc3ccccc3C2)cc1O,sweet
Nc1cc(Cl)ccc1C(=O)CC(N)C(=O)O,sweet
Oc1cccc(C2OCc3ccccc3S2)c1,sweet
CC(C)(C)CCNS(=O)(=O)[O-],sweet
Oc1ccc(C2OCc3ccccc3S2)cc1O,sweet
CC(NC(=Nc1ccc2c(c1)OCO2)NCC(=O)O)c1ccccc1,sweet
O=S(=O)([O-])Nc1ncc(Br)cc1Br,sweet
CC(NC(=Nc1cc(Cl)cc(Cl)c1)NCC(=O)O)c1ccccc1,sweet
O=C(O)CNC(=Nc1cc(Cl)cc(Cl)c1)NCc1ccccc1,sweet
CC(NC(=Nc1cc(Cl)cc(Cl)c1)NCC(=O)O)C1CCCCC1,sweet
O=C(O)CNC(=Nc1cc(Cl)cc(Cl)c1)NC1CCCCCCC1,sweet
O=C(O)CNC(=Nc1cc(Cl)cc(Cl)c1)NCC1CCCCC1,sweet
O=C(O)CNC(=Nc1cc(Cl)cc(Cl)c1)Nc1cccc2ccccc12,sweet
O=C(O)CNC(=Nc1cc(Cl)cc(Cl)c1)NC1CCCCCC1,sweet
CCCCC(C)NC(=Nc1cc(Cl)cc(Cl)c1)NCC(=O)O,sweet
O=C(O)CNC(=Nc1cc(Cl)cc(Cl)c1)Nc1cc(Cl)cc(Cl)c1,sweet
CCOc1ccc(C2CC(=O)c3c(O)cccc3O2)cc1O,sweet
COc1ccc(C2CC(=O)c3c(O)cccc3O2)cc1O,sweet
CCCOc1ccc(C2CC(=O)c3c(O)cccc3O2)cc1O,sweet
CCOC(=O)C(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1)C(=O)OCC,sweet
COC(=O)C(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1)C(=O)OC,sweet
COC(=O)C(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1)C1CCCCC1,sweet
CCOC(=O)C(C)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1,sweet
COC(=O)c1ccc(NC(=O)NC(CC(=O)O)C(=O)NC(Cc2ccccc2)C(=O)OC)cc1,sweet
CNS(=O)(=O)c1ccc(NC(=O)NC(CC(=O)O)C(=O)NC(Cc2ccccc2)C(=O)OC)cc1,sweet
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=S)Nc1ccc([N+](=O)[O-])cc1,sweet
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1,sweet
CCCCC(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1)C(=O)OC,sweet
CCCC(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1)C(=O)OC,sweet
COC(=O)C(C)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1,sweet
COC(=O)C(CC1CCCCC1)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1,sweet
O=C(O)CCNC(=O)Oc1ccc([N+](=O)[O-])cc1,sweet
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C(C)=O)cc1,sweet
NC(=O)c1ccc(NC(=O)NC(CC(=O)O)c2cccc(O)c2)cc1,sweet
NC(=O)c1ccc(NC(=O)NC(CC(=O)O)c2cccnc2)cc1,sweet
CC(NC(=O)C(CC(=O)O)NC(=S)Nc1ccc(C#N)cc1)C(=O)NC(C1CC1)C1CC1,sweet
CC(NC(=O)C(CC(=O)O)NC(=S)Nc1ccc(C#N)cc1)c1ccccc1,sweet
N#Cc1ccc(NC(=S)NC(CC(=O)O)c2ccccc2)cc1,sweet
CC(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C#N)cc1)C(=O)NC(C1CC1)C1CC1,sweet
N#Cc1ccc(NC(=O)NC(CC(=O)O)c2ccc3c(c2)CCC3)cc1,sweet
N#Cc1ccc(NC(=O)NC(CC(=O)O)c2ccccc2[N+](=O)[O-])cc1,sweet
N#Cc1ccc(NC(=O)NC(CC(=O)O)c2cccc(O)c2)cc1,sweet
COc1cccc(C(CC(=O)O)NC(=O)Nc2ccc(C#N)cc2)c1,sweet
N#Cc1ccc(NC(=O)NC(CC(=O)O)c2cccc([N+](=O)[O-])c2)cc1,sweet
CCc1ccc(C(CC(=O)O)NC(=O)Nc2ccc(C#N)cc2)cc1,sweet
N#Cc1ccc(NC(=O)NC(CC(=O)O)c2ccc(O)cc2)cc1,sweet
COc1ccc(C(CC(=O)O)NC(=O)Nc2ccc(C#N)cc2)cc1,sweet
N#Cc1ccc(NC(=O)NC(CC(=O)O)c2ccc([N+](=O)[O-])cc2)cc1,sweet
N#Cc1ccc(NC(=O)NC(CC(=O)O)c2ccc3ccccc3c2)cc1,sweet
N#Cc1ccc(NC(=O)NC(CC(=O)O)c2cnc3ccccc3c2)cc1,sweet
COC(=O)C(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C#N)cc1)C(F)(F)F,sweet
COC(=O)C(C)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C#N)cc1,sweet
CC(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C#N)cc1)c1ccccc1,sweet
COC(=O)C(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C#N)cc1)c1ccccc1,sweet
COC(=O)C(CO)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C#N)cc1,sweet
CCCOC(=O)C(CO)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C#N)cc1,sweet
COC(=O)C(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C#N)cc1)C(=O)OC1C2(C)CCC(C2)C1(C)C,sweet
N#Cc1ccc(NC(=O)NC(CC(=O)O)Cc2ccccc2)cc1,sweet
N#Cc1ccc(NC(=O)NC(CCc2ccccc2)CC(=O)O)cc1,sweet
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(F)cc1,sweet
CCCOC(=O)C(C)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1,sweet
NC(=O)c1ccc(NC(=O)NC(CC(=O)O)c2cccnc2)cn1,sweet
NC(=O)c1ccc(NC(=O)NC(CC(=O)O)c2ccccc2)cn1,sweet
N#Cc1ccc(NC(=O)NC(CC(=O)O)c2cccnc2)cn1,sweet
CC(=O)OCC(NC(=O)C(N)CC(=O)O)C(C)O,sweet
CC(=O)OCC(CO)NC(=O)C(N)CC(=O)O,sweet
CC(=O)OCC(NC(=O)C(N)CC(=O)O)C(C)C,sweet
CCCC(COC(C)=O)NC(=O)C(N)CC(=O)O,sweet
CC(=O)OCC(C)NC(=O)C(N)CC(=O)O,sweet
CC(=O)OCCNC(=O)C(N)CC(=O)O,sweet
COC(=O)C(COC(C)=O)NC(=O)C(N)CC(=O)O,sweet
CC(NC(=O)C(N)CC(=O)O)C(=O)NC(C)(C1CC1)C1CC1,sweet
CC(NC(=O)C(N)CC(=O)O)C(=O)NC(C)(C(C)(C)C)C(C)(C)C,sweet
CC(NC(=O)C(N)CC(=O)O)C(=O)NC1C(C)(C)S(=O)(=O)C1(C)C,sweet
CC(NC(=O)C(N)CC(=O)O)C(=O)NC1C(C)(C)S(=O)C1(C)C,sweet
CC(NC(=O)C(N)CC(=O)O)C(=O)NC1C(C)(C)CC1(C)C,sweet
CC(NC(=O)C(N)CC(=O)O)C(=O)NC1C(C)(C)CCCC1(C)C,sweet
CC(COC(=O)C(C)(C)C)NC(=O)C(N)CC(=O)O,sweet
CC(NC(=O)C(N)CC(=O)O)C(=O)NC(C)(C(C)C)C(C)C,sweet
CC(NC(=O)C(N)CC(=O)O)NC(=O)C1C(C)CCCC1C,sweet
COC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1C(C)CCCC1C,sweet
CC(NC(=O)C(N)CC(=O)O)C(=O)NC(C)(C1CC1)C(C)(C)C,sweet
CC(NC(=O)C(N)CC(=O)O)C(=O)NC(C)(C)C1CC1,sweet
CCC(CC)C(=O)OCC(C)NC(=O)C(N)CC(=O)O,sweet
CCC(C)C(=O)OCC(C)NC(=O)C(N)CC(=O)O,sweet
C=C(C)C(=O)OCC(C)NC(=O)C(N)CC(=O)O,sweet
CCC(COC(=O)C(C)C)NC(=O)C(N)CC(=O)O,sweet
CC(COC(=O)C(C)C)NC(=O)C(N)CC(=O)O,sweet
CC(NC(=O)C(N)CC(=O)O)C(=O)NC1C(C)(C)C(O)C1(C)C,sweet
CC(C)CC(=O)OCC(C)NC(=O)C(N)CC(=O)O,sweet
CCC(C)(CC)NC(=O)C(C)NC(=O)C(N)CC(=O)O,sweet
CCOC(=O)OC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC,sweet
CCOC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1CCCCC1C,sweet
CCC(C)C(=O)OCC(CO)NC(=O)C(N)CC(=O)O,sweet
CC(C)C(=O)OCC(CO)NC(=O)C(N)CC(=O)O,sweet
CC(C)CC(=O)OCC(CO)NC(=O)C(N)CC(=O)O,sweet
COC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1CC(C)CC(C)(C)C1,sweet
COC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1CCCCC1C,sweet
COC(=O)C(COC(=O)C(C)C)NC(=O)C(N)CC(=O)O,sweet
COC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1CCCC(C)C1,sweet
COC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1CCC(C)CC1,sweet
CC(C)C(=O)OCCNC(=O)C(N)CC(=O)O,sweet
CC(C)CC(=O)OCCNC(=O)C(N)CC(=O)O,sweet
COC(=O)C(COC(=O)C(C)(C)C)NC(=O)C(N)CC(=O)O,sweet
CC(C)C(=O)OCC(NC(=O)C(N)CC(=O)O)C(C)C,sweet
COC(=O)CCC(NC(=O)C(N)CC(=O)O)C(=O)OC,sweet
COC(=O)C(C)CC(NC(=O)C(N)CC(=O)O)C(=O)OC,sweet
CCOC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC(=O)OC(C)(C)C,sweet
CCCCOC(=O)C(C)NC(=O)C(N)CC(=O)O,sweet
CCCCOC(=O)C(CO)NC(=O)C(N)CC(=O)O,sweet
CC(CC1CCCCC1)NC(=O)C(N)CC(=O)O,sweet
CCCCC(NC(=O)C(N)CC(=O)O)C(=O)OCC,sweet
CCOC(=O)C(NC(=O)C(N)CC(=O)O)C(C)O,sweet
CCOC(=O)C(CO)NC(=O)C(N)CC(=O)O,sweet
CC(NC(=O)C(N)CC(=O)O)C(O)c1ccccc1,sweet
COC(=O)C(NC(=O)C(N)CC(=O)O)C(C)c1ccccc1,sweet
CCC(NC(=O)C(N)CC(=O)O)C(=O)OC,sweet
CCCCCC(NC(=O)C(N)CC(=O)O)C(=O)OC,sweet
CCCCC(NC(=O)C(N)CC(=O)O)C(=O)OC,sweet
CCCCCCC(NC(=O)C(N)CC(=O)O)C(=O)OC,sweet
CCCC(NC(=O)C(N)CC(=O)O)C(=O)OC,sweet
COC(=O)C(CCC(C)C)NC(=O)C(N)CC(=O)O,sweet
CCCOC(=O)C(CC)NC(=O)C(N)CC(=O)O,sweet
CCCOC(=O)C(CCC)NC(=O)C(N)CC(=O)O,sweet
CC(COc1ccccc1)NC(=O)C(N)CC(=O)O,sweet
CC(C)(Cc1ccccc1)NC(=O)C(N)CC(=O)O,sweet
CCCOC(=O)CNC(=O)C(N)CC(=O)O,sweet
COC(=O)C(NC(=O)C(N)CC(=O)O)C(C)O,sweet
CCCC(O)C(NC(=O)C(N)CC(=O)O)C(=O)OC,sweet
COC(=O)C(CO)NC(=O)C(N)CC(=O)O,sweet
CCCOC(=O)C(NC(=O)C(N)CC(=O)O)C(C)O,sweet
CCCOC(=O)C(CO)NC(=O)C(N)CC(=O)O,sweet
CCCCCC(C)C(C)NC(=O)C(N)CC(=O)O,sweet
CCOC(=O)CC(NC(=O)C(N)CC(=O)O)C(=O)OC,sweet
CCOC(=O)CC(C)NC(=O)C(N)CC(=O)O,sweet
CCOCCC(C)NC(=O)C(N)CC(=O)O,sweet
COC(=O)CC(C)NC(=O)C(N)CC(=O)O,sweet
COC(=O)C(CCCNC(C)=O)NC(=O)C(N)CC(=O)O,sweet
CC(C)CCC(C)NC(=O)C(N)CC(=O)O,sweet
COC(=O)C(CCCCNC(C)=O)NC(=O)C(N)CC(=O)O,sweet
CCCCCC(C)NC(=O)C(N)CC(=O)O,sweet
CC(NC(=O)C(N)CC(=O)O)NC(=O)C1CC2CCC1C2,sweet
CC(NC(=O)C(N)CC(=O)O)NC(=O)C(C1CC1)C1CC1,sweet
CC(NC(=O)C(N)CC(=O)O)NC(=O)C(C)(C)C,sweet
CC(COC(=O)C1CCC1C)NC(=O)C(N)CC(=O)O,sweet
CC(COC(=O)C1CC1C)NC(=O)C(N)CC(=O)O,sweet
CC(Cc1ccc(O)cc1)NC(=O)C(N)CC(=O)O,sweet
CCCC(=O)OCC(CO)NC(=O)C(N)CC(=O)O,sweet
CCCC(=O)OCC(NC(=O)C(N)CC(=O)O)C(C)C,sweet
CCCC(=O)OCC(C)NC(=O)C(N)CC(=O)O,sweet
NC(CC(=O)O)C(=O)NC(CO)COC(=O)C1CCC1,sweet
CC(C)C(COC(=O)C1CCC1)NC(=O)C(N)CC(=O)O,sweet
CCC(COC(=O)C1CCC1)NC(=O)C(N)CC(=O)O,sweet
CC(COC(=O)C1CCC1)NC(=O)C(N)CC(=O)O,sweet
CC(NC(=O)C(N)CC(=O)O)C(=O)NC1CCCCC1,sweet
CC(NC(=O)C(N)CC(=O)O)NC(=O)C1CCCCC1,sweet
CCOC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1CCCCC1,sweet
NC(CC(=O)O)C(=O)NC(CO)C(=O)OC1CCCCC1,sweet
COC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1CCCCC1,sweet
NC(CC(=O)O)C(=O)NC(CO)COC(=O)C1CCCC1,sweet
CC(COC(=O)C1CCCC1)NC(=O)C(N)CC(=O)O,sweet
CC(NC(=O)C(N)CC(=O)O)NC(=O)C1CCCC1,sweet
CCOC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1CCCC1,sweet
COC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1CCCC1,sweet
NC(CC(=O)O)C(=O)NC(CO)COC(=O)C1CC1,sweet
CC(C)C(COC(=O)C1CC1)NC(=O)C(N)CC(=O)O,sweet
CCC(COC(=O)C1CC1)NC(=O)C(N)CC(=O)O,sweet
CC(COC(=O)C1CC1)NC(=O)C(N)CC(=O)O,sweet
CCCCC(=O)OCC(C)NC(=O)C(N)CC(=O)O,sweet
CC(NC(=O)c1ccccc1)NC(=O)C(N)CC(=O)O,sweet
C=CC(=O)OCC(C)NC(=O)C(N)CC(=O)O,sweet
CCC(=O)OCC(CC)NC(=O)C(N)CC(=O)O,sweet
CCC(=O)OCC(C)NC(=O)C(N)CC(=O)O,sweet
CCOC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC(C)(C)C,sweet
COC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC(C)(C)C,sweet
CCOC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1C2(C)CCC(C2)C1(C)C,sweet
NC(CC(=O)O)C(=O)NC(CO)Cc1ccc(O)cc1,sweet
CCC(=O)OCC(CO)NC(=O)C(N)CC(=O)O,sweet
COC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1CC2CCC1(C)C2(C)C,sweet
COC(=O)C(CSC(C)C)NC(=O)C(N)CC(=O)O,sweet
CCC(=O)OCC(NC(=O)C(N)CC(=O)O)C(=O)OC,sweet
CCCSCC(NC(=O)C(N)CC(=O)O)C(=O)OC,sweet
CCCCCOC(=O)C(C)NC(=O)C(N)CC(=O)O,sweet
CCC(NC(=O)C(N)CC(=O)O)C(=O)OC(C)C,sweet
CCCC(NC(=O)C(N)CC(=O)O)C(=O)OC(C)C,sweet
CC(C)OC(=O)C(C)NC(=O)C(N)CC(=O)O,sweet
CCCC(=O)OCCNC(=O)C(N)CC(=O)O,sweet
NC(CC(=O)O)C(=O)NCCOC(=O)C1CCC1,sweet
NC(CC(=O)O)C(=O)NCC(=O)OC1CCCCC1,sweet
NC(CC(=O)O)C(=O)NCCOC(=O)C1CC1,sweet
CCC(=O)OCCNC(=O)C(N)CC(=O)O,sweet
CC(C)OC(=O)C(C)CNC(=O)C(N)CC(=O)O,sweet
CCC(C)OC(=O)CCNC(=O)C(N)CC(=O)O,sweet
CCCC(=O)OCC(NC(=O)C(N)CC(=O)O)C(=O)OC,sweet
CC(CNC(=O)C(N)CC(=O)O)C(=O)OC1CCCCC1,sweet
NC(CC(=O)O)C(=O)NCCC(=O)OC1CCCCC1,sweet
CC(CNC(=O)C(N)CC(=O)O)C(=O)OC1CCCC1,sweet
NC(CC(=O)O)C(=O)NCCC(=O)OC1CCCC1,sweet
CCSCC(NC(=O)C(N)CC(=O)O)C(=O)OC,sweet
NC(CC(=O)O)C(=O)NCCCc1ccco1,sweet
COC(=O)C(COC(C)(C)C)NC(=O)C(N)CC(=O)O,sweet
CC(CNC(=O)C(N)CC(=O)O)C(=O)OC(C)(C)C,sweet
CC(C)(C)OC(=O)CCNC(=O)C(N)CC(=O)O,sweet
COC(=O)C(CSC(C)(C)C)NC(=O)C(N)CC(=O)O,sweet
CC(C)COC(=O)C(NC(=O)C(N)CC(=O)O)C(C)O,sweet
CC(C)COC(=O)C(CO)NC(=O)C(N)CC(=O)O,sweet
CCC(=O)OCC(NC(=O)C(N)CC(=O)O)C(C)O,sweet
CC(C)OC(=O)C(NC(=O)C(N)CC(=O)O)C(C)O,sweet
CC(C)OC(=O)C(CO)NC(=O)C(N)CC(=O)O,sweet
CCC(=O)OCC(NC(=O)C(N)CC(=O)O)C(C)C,sweet
CC(C)OC(=O)C(NC(=O)C(N)CC(=O)O)C(C)C,sweet
CCC(C)C(NC(=O)C(N)CC(=O)O)C(=O)OC(C)C,sweet
CCCC(C)OC(=O)CCNC(=O)C(N)CC(=O)O,sweet
CCC(CC)OC(=O)CCNC(=O)C(N)CC(=O)O,sweet
CC(C)OC(=O)CCNC(=O)C(N)CC(=O)O,sweet
CCC(C)OC(=O)CC(C)NC(=O)C(N)CC(=O)O,sweet
CC(CC(=O)OC1CCCCC1)NC(=O)C(N)CC(=O)O,sweet
COC(=O)C(CC(=O)OC(C)(C)C)NC(=O)C(N)CC(=O)O,sweet
CC(CC(=O)OC(C)(C)C)NC(=O)C(N)CC(=O)O,sweet
CC(CC(=O)OC(C)C)NC(=O)C(N)CC(=O)O,sweet
NC(CC(=O)O)C(=O)NCCC1CCCCC1,sweet
CCCCCCCNC(=O)C(N)CC(=O)O,sweet
CCCCCCNC(=O)C(N)CC(=O)O,sweet
CCOC(=O)C(C)NC(=O)C(N)CC(=O)O,sweet
NC(CC(=O)O)C(=O)NC(CO)Cc1ccccc1,sweet
COC(=O)CNC(=O)C(N)CC(=O)O,sweet
COC(=O)C(CC1CCCCC1)NC(=O)C(N)CC(=O)O,sweet
COC(=O)CCNC(=O)C(N)CC(=O)O,sweet
COC(=O)CCCNC(=O)C(N)CC(=O)O,sweet
